date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:37	98024/98024	U-----	200	untouched ('')	font/x-woff	etag:%226897511a880d31:0%22	http://skygreenwaste.com/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/fonts/fontawesome-webfont3e6e.woff	(from http://skygreenwaste.com/css/font-awesome.min.css)
16:44:37	165548/165548	U-----	200	untouched ('')	application/octet-stream	etag:%228223c1a880d31:0%22	http://skygreenwaste.com/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/fonts/fontawesome-webfont3e6e.ttf	(from http://skygreenwaste.com/css/font-awesome.min.css)
16:44:38	444379/444379	U-----	200	untouched ('OK')	image/svg+xml	etag:%225f5e181a880d31:0%22	http://skygreenwaste.com/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/fonts/fontawesome-webfont3e6e.svg	(from http://skygreenwaste.com/css/font-awesome.min.css)
16:44:38	868652/868652	U-----	200	untouched ('')	image/jpeg	etag:%228d2fa8776584d31:0%22	http://skygreenwaste.com/img/page-banner.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/page-banner.jpg	(from http://skygreenwaste.com/css/style.css)
16:44:38	471802/471802	U-----	200	untouched ('')	image/jpeg	etag:%22fbcb87c6584d31:0%22	http://skygreenwaste.com/img/service/collection-banner-img.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/service/collection-banner-img.jpg	(from http://skygreenwaste.com/css/style.css)
16:44:38	366279/366279	U-----	200	untouched ('')	image/jpeg	etag:%2295ef6c7c6584d31:0%22	http://skygreenwaste.com/img/service/data-security-banner-img.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/service/data-security-banner-img.jpg	(from http://skygreenwaste.com/css/style.css)
16:44:38	354946/354946	U-----	200	untouched ('')	image/jpeg	etag:%22e144c17b6584d31:0%22	http://skygreenwaste.com/img/service/asset-mnagement-img.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/service/asset-mnagement-img.jpg	(from http://skygreenwaste.com/css/style.css)
16:44:39	494779/494779	U-----	200	untouched ('')	image/jpeg	etag:%2219b2af7c6584d31:0%22	http://skygreenwaste.com/img/service/eco-friendly-recycling-img.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/service/eco-friendly-recycling-img.jpg	(from http://skygreenwaste.com/css/style.css)
16:44:39	453002/453002	U-----	200	untouched ('')	image/jpeg	etag:%22faf2e7d6584d31:0%22	http://skygreenwaste.com/img/service/reverse-logistices-img.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/service/reverse-logistices-img.jpg	(from http://skygreenwaste.com/css/style.css)
16:44:39	531901/531901	U-----	200	untouched ('')	image/jpeg	etag:%229674f27c6584d31:0%22	http://skygreenwaste.com/img/service/refurbishing-img.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/service/refurbishing-img.jpg	(from http://skygreenwaste.com/css/style.css)
