date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:31:26	8087/8087	---M--	200	added ('OK')	image/jpeg	etag:%2259e29c796584d31:0%22	http://skygreenwaste.com/img/flickr/6.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/flickr/6.jpg	(from http://skygreenwaste.com/)
16:31:31	9966/9966	---M--	200	added ('OK')	image/jpeg	etag:%22b557b2796584d31:0%22	http://skygreenwaste.com/img/flickr/7.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/flickr/7.jpg	(from http://skygreenwaste.com/)
16:31:33	4891/4891	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jun%202018%2011:01:44%20GMT	http://skygreenwaste.com/www.phitsolution.com	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/www.phitsolution.22.delayed	(from http://skygreenwaste.com/)
16:31:47	575790/575790	---M--	200	added ('OK')	image/jpeg	etag:%22abfe95766584d31:0%22	http://skygreenwaste.com/img/about.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/about.jpg	(from http://skygreenwaste.com/)
16:31:48	37045/37045	---M-Z	200	added ('OK')	application/javascript	etag:%22704436a880d31:0%22	http://skygreenwaste.com/js/bootstrap.min.js	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/js/bootstrap.min.js	(from http://skygreenwaste.com/)
16:31:53	1201/1201	---M-Z	200	added ('OK')	application/javascript	etag:%2267f6f45a880d31:0%22	http://skygreenwaste.com/js/ajax-mail.js	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/js/ajax-mail.js	(from http://skygreenwaste.com/)
16:32:02	3130/3130	---M-Z	200	added ('OK')	application/javascript	etag:%22817d3c6a880d31:0%22	http://skygreenwaste.com/js/main.js	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/js/main.js	(from http://skygreenwaste.com/)
16:32:09	97362/97362	---M-Z	200	added ('OK')	application/javascript	etag:%22488276a880d31:0%22	http://skygreenwaste.com/js/jquery-1.12.0.min.js	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/js/jquery-1.12.0.min.js	(from http://skygreenwaste.com/)
16:32:09	4927/4927	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jun%202018%2011:02:17%20GMT	http://skygreenwaste.com/fonts/glyphicons-halflings-regular.eot	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/fonts/glyphicons-halflings-regular.29.delayed	(from http://skygreenwaste.com/css/bootstrap.min.css)
16:32:10	17083/17083	---M-Z	200	added ('OK')	application/javascript	etag:%22488276a880d31:0%22	http://skygreenwaste.com/js/jquery.flexisel.js	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/js/jquery.flexisel.js	(from http://skygreenwaste.com/)
16:32:15	4927/4927	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jun%202018%2011:02:24%20GMT	http://skygreenwaste.com/fonts/glyphicons-halflings-regular.eot?	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/fonts/glyphicons-halflings-regular.2ad41d.delayed	(from http://skygreenwaste.com/css/bootstrap.min.css)
16:32:23	151289/151289	---M-Z	200	added ('OK')	application/javascript	etag:%223f54736a880d31:0%22	http://skygreenwaste.com/js/plugins.js	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/js/plugins.js	(from http://skygreenwaste.com/)
16:32:24	4931/4931	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jun%202018%2011:02:34%20GMT	http://skygreenwaste.com/fonts/glyphicons-halflings-regular.woff2	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/fonts/glyphicons-halflings-regular.2b.delayed	(from http://skygreenwaste.com/css/bootstrap.min.css)
16:32:30	4929/4929	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jun%202018%2011:02:40%20GMT	http://skygreenwaste.com/fonts/glyphicons-halflings-regular.woff	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/fonts/glyphicons-halflings-regular.2c.delayed	(from http://skygreenwaste.com/css/bootstrap.min.css)
16:32:35	4927/4927	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jun%202018%2011:02:46%20GMT	http://skygreenwaste.com/fonts/glyphicons-halflings-regular.ttf	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/fonts/glyphicons-halflings-regular.2d.delayed	(from http://skygreenwaste.com/css/bootstrap.min.css)
16:32:43	4927/4927	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jun%202018%2011:02:50%20GMT	http://skygreenwaste.com/fonts/glyphicons-halflings-regular.svg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/fonts/glyphicons-halflings-regular.2e.delayed	(from http://skygreenwaste.com/css/bootstrap.min.css)
16:32:56	7019/7019	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jun%202018%2011:02:59%20GMT	http://skygreenwaste.com/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/fonts/Material-Design-Iconic-Font.2fd1f1.delayed	(from http://skygreenwaste.com/css/material-design-iconic-font.min.css)
16:33:04	4935/4935	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jun%202018%2011:03:11%20GMT	http://skygreenwaste.com/fonts/Material-Design-Iconic-Font.woff?v=2.2.0	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/fonts/Material-Design-Iconic-Font.30d1f1.delayed	(from http://skygreenwaste.com/css/material-design-iconic-font.min.css)
16:33:36	7003/7003	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jun%202018%2011:03:42%20GMT	http://skygreenwaste.com/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/fonts/fontawesome-webfont.343e6e.delayed	(from http://skygreenwaste.com/css/font-awesome.min.css)
16:36:30	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%225f5e181a880d31:0%22	http://skygreenwaste.com/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/fonts/fontawesome-webfont3e6e.svg	(from http://skygreenwaste.com/css/font-awesome.min.css)
